Percent admitted,Admissions yield,Tuition and fees,Control of institution,Degree of urbanization,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment
73,29,11057,Public,Town: Fringe,17357,14680,2677,1,8,4,76,18,77,2944,365,33,53,108280,2115,438,6203,1010,14430,2927
,,17161,Private for-profit,Suburb: Large,354,354,0,1,24,9,62,10,0,27,0,0,15,,54,,,1800,224,130
,,,Public,Rural: Distant,202,202,0,1,2,1,95,6,57,,,,64,,35,,,,128,74
,,,Public,Suburb: Large,211,211,0,2,5,2,88,12,86,,,,83,,24,,,,211,0
100,18,,Public,City: Small,101,101,0,1,35,1,56,4,92,,,,67,,34,,,,75,26
69,21,34600,Private not-for-profit,Suburb: Large,3384,2699,685,2,10,4,74,11,78,538,52,5,59,100787,514,674,1627,1550,2960,424
33,16,47500,Private not-for-profit,City: Large,11824,5150,6674,15,6,5,47,11,92,328,795,186,83,145840,4470,1584,4266,1200,10464,1360
71,30,29156,Private not-for-profit,Town: Fringe,3886,3535,351,2,2,2,83,14,84,341,520,11,72,76330,621,512,2567,1220,3311,575
,,4296,Public,Suburb: Small,3479,3479,0,2,11,2,70,11,53,,,,17,89626,218,116,,1320,692,2787
,,,Private not-for-profit,Suburb: Large,124,124,0,1,70,6,23,11,72,,,,62,,12,,,,124,0
48,11,6246,Public,Rural: Fringe,1784,1784,0,0,91,1,1,13,47,,,,20,76735,381,456,1459,1200,1710,74
,,11540,Private not-for-profit,Rural: Distant,294,294,0,0,39,1,54,6,42,,,,25,,57,,,1500,133,161
,,8200,Public,City: Small,125,125,0,1,34,3,62,8,96,,,,88,,49,,,1700,101,24
51,55,16477,Private not-for-profit,City: Large,914,914,0,1,11,1,79,14,77,67,12,0,46,70368,84,992,,1800,446,468
88,29,17028,Private not-for-profit,City: Large,750,639,111,1,21,4,67,15,51,46,65,0,40,54278,87,347,394,1000,584,166
,,,Private not-for-profit,Suburb: Large,85,85,0,0,12,1,80,15,,,,,33,50532,10,,,,85,0
76,33,11000,Public,City: Large,37155,26559,10596,4,7,4,69,16,86,4349,873,167,69,124851,6795,648,6690,1500,28080,9075
,,3825,Public,City: Large,8807,8807,0,2,24,3,59,13,47,,,,15,,599,124,,1764,2304,6503
,,5316,Public,Suburb: Large,2799,2799,0,1,3,3,84,12,,557,30,0,25,93523,247,186,,1500,1506,1293
,,6010,Public,Suburb: Large,4779,4779,0,4,22,5,60,16,,1334,38,14,23,94551,319,148,,1500,3066,1713
,,20240,Private not-for-profit,Town: Distant,4483,3990,493,0,27,2,48,11,65,,,,29,42318,540,96,321,1500,2830,1653
,,3359,Public,City: Small,5783,5783,0,2,17,2,75,13,57,,,,21,66566,351,101,,1260,1341,4442
,,,Private for-profit,City: Small,42,42,0,0,10,0,90,6,93,27,13,0,31,,11,,,,42,0
54,30,40655,Private not-for-profit,City: Large,636,636,0,3,9,8,66,9,89,,,,56,63071,166,467,200,2190,620,16
,,,Private for-profit,City: Large,75,75,0,0,76,4,20,9,76,,,,77,,16,,,,75,0
43,27,49146,Private not-for-profit,City: Large,393,212,181,10,1,0,34,7,90,,,,45,,124,816,100,600,391,2
90,29,9778,Public,City: Large,16371,12078,4293,3,16,5,63,17,70,,,,43,107675,1833,325,1011,800,11330,5041
,,,Public,Town: Distant,176,176,0,0,6,1,93,18,93,,,,84,,17,,,,176,0
,,13980,Private for-profit,City: Large,368,368,0,1,12,3,67,17,76,,,,72,,52,,124,1320,368,0
70,33,34440,Private not-for-profit,City: Large,1075,1025,50,4,10,6,65,9,79,,,,61,67681,230,461,438,4000,1050,25
,,3808,Public,City: Large,27204,27204,0,4,19,5,59,19,63,3766,44,23,21,77206,1506,86,,1528,6989,20215
,,3136,Public,City: Large,23900,23900,0,3,25,7,55,18,58,2546,14,60,15,96496,2256,443,,1700,7371,16529
,,14130,Private for-profit,City: Large,91,91,0,0,41,2,54,6,20,,,,25,,15,,,1800,31,60
,,,Private for-profit,Suburb: Large,44,44,0,2,68,9,20,15,85,,,,83,,4,,,,30,14
72,19,41750,Private not-for-profit,City: Midsize,10882,8499,2383,1,4,5,75,15,90,1032,1140,54,79,115718,2735,890,6534,1000,9811,1071
56,21,32190,Private not-for-profit,Town: Distant,614,584,30,1,12,7,74,11,60,,,,39,57703,134,390,547,1400,529,85
37,22,50440,Private not-for-profit,Suburb: Small,2341,2341,0,4,7,9,65,9,91,125,416,76,86,114958,705,1663,2250,1000,2319,22
,,4219,Public,Rural: Fringe,3261,3261,0,1,3,2,89,17,57,457,4,0,24,65319,187,165,,2080,753,2508
,,,Public,Rural: Fringe,313,313,0,0,8,3,84,15,82,,,,70,,33,,,,272,41
,,17098,Private for-profit,City: Large,263,263,0,0,85,5,7,6,,23,0,0,6,,45,,,1800,118,145
75,22,33320,Private not-for-profit,Town: Distant,4888,3562,1326,2,3,2,81,16,81,410,182,0,61,82713,663,218,1400,1275,3197,1691
,,12241,Private not-for-profit,City: Large,4753,3509,1244,3,18,2,58,11,20,,,,6,,526,183,,1080,2003,2750
,,,Private for-profit,City: Midsize,68,68,0,34,38,0,28,10,29,,,,93,,7,,,,47,21
,,7040,Private not-for-profit,City: Large,306,292,14,2,5,2,81,7,96,,,,40,12146,67,,200,750,162,144
45,96,15470,Private not-for-profit,City: Large,413,413,0,1,12,1,83,6,,,,,50,73757,51,2590,,1650,98,315
,,,Public,Suburb: Large,191,191,0,3,15,2,77,15,43,,,,99,,43,,,,191,0
55,100,,Public,Town: Fringe,57,57,0,0,12,2,82,11,0,,,,53,,8,,,,57,0
83,68,,Public,City: Large,129,129,0,1,81,1,17,15,74,,,,73,,12,,,,126,3
,,,Private not-for-profit,City: Large,317,0,317,1,2,3,88,,,,,,,84588,286,6353,,,272,45
76,24,30200,Private not-for-profit,Town: Distant,1201,1051,150,1,9,3,79,13,67,246,70,3,49,66558,266,241,1023,1500,1092,109
64,15,34300,Private not-for-profit,Town: Fringe,1221,1210,11,1,13,3,53,10,70,175,81,2,56,64977,228,717,785,800,857,364
,,,Private not-for-profit,Suburb: Large,464,464,0,0,1,3,91,15,92,,,,91,,53,,,,464,0
,,4390,Public,Town: Distant,3375,3375,0,1,11,2,79,19,74,,,,27,62587,278,69,760,1500,2112,1263
,,,Private for-profit,Suburb: Large,97,97,0,0,40,6,47,18,78,,,,80,,11,,,,97,0
,,12569,Private for-profit,City: Midsize,54,54,0,0,37,0,56,10,67,,,,75,,15,,,880,54,0
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,3645,Public,City: Small,8526,8526,0,1,19,9,65,21,47,,,,8,53808,236,112,,1000,1769,6757
85,23,39990,Private not-for-profit,Suburb: Large,3545,3080,465,2,5,4,82,12,86,505,241,0,78,93699,577,994,1917,1250,3198,347
55,72,18260,Private for-profit,Suburb: Large,2093,2093,0,2,44,2,48,16,,,,,38,,221,,,2786,1506,587
,,,Private for-profit,Suburb: Large,123,123,0,0,11,2,83,6,73,,,,74,,21,,,,60,63
,,5664,Public,Town: Distant,1974,1971,3,1,5,5,82,20,44,228,3,0,25,103934,118,205,,1200,430,1544
,,5664,Public,Town: Fringe,1175,1174,1,1,6,2,84,25,68,62,4,0,30,,54,,,1200,139,1036
,,5664,Public,Suburb: Large,5010,4995,15,1,6,2,82,23,66,648,1,0,32,114617,311,221,,1200,1954,3056
,,5664,Public,Suburb: Large,2278,2277,1,1,7,3,82,25,63,237,6,0,20,104403,119,318,,1200,636,1642
,,5664,Public,Town: Distant,2131,2131,0,1,4,2,88,22,63,288,2,0,33,95456,152,221,,1200,701,1430
,,5664,Public,Rural: Fringe,1695,1694,1,1,4,2,86,19,55,175,0,0,28,100755,98,,,1200,502,1193
88,32,10012,Public,Suburb: Large,28972,23178,5794,2,8,3,73,20,80,3443,768,68,58,109599,3669,485,6336,1200,22247,6725
,,5664,Public,Rural: Fringe,2249,2247,2,2,10,3,77,23,60,264,0,0,30,96011,108,123,,1200,482,1767
34,24,53560,Private not-for-profit,Town: Distant,1677,1677,0,3,3,7,72,9,93,,,,91,96328,650,1793,1790,1900,1661,16
28,59,12408,Private not-for-profit,Suburb: Large,824,632,192,5,4,3,81,9,72,42,3,0,52,81929,118,608,120,1626,460,364
60,22,30862,Private not-for-profit,Suburb: Large,1177,955,222,1,16,5,68,14,61,122,89,8,46,80690,159,183,525,1100,802,375
,,3316,Public,Suburb: Large,7581,7581,0,1,13,3,77,16,50,801,2,1,15,99022,527,237,,1200,2198,5383
,,,Public,Rural: Fringe,353,353,0,0,2,0,98,6,85,,,,66,,71,,,,331,22
,,3845,Public,Suburb: Small,3760,3760,0,1,5,1,85,12,64,,,,46,55583,293,91,,1200,838,2922
,,9000,Private for-profit,Suburb: Midsize,228,228,0,0,34,20,43,8,67,29,0,0,48,,38,,,2160,165,63
,,9000,Private for-profit,Town: Distant,212,212,0,0,20,7,65,9,64,,,,46,,23,,,2160,141,71
,,3151,Public,City: Small,11042,11042,0,1,9,10,73,16,63,1458,10,8,23,85791,730,202,,1180,2955,8087
97,22,21540,Private not-for-profit,Suburb: Large,1352,1044,308,1,11,9,71,13,67,125,83,2,33,65018,196,131,432,1340,1028,324
66,27,29900,Private not-for-profit,City: Small,1705,1333,372,1,11,2,80,12,70,288,48,2,49,66904,298,331,1197,1200,1188,517
67,25,36040,Private not-for-profit,Town: Fringe,1145,1065,80,1,5,2,65,9,67,161,83,28,59,72471,326,659,1770,1228,1039,106
,,4480,Public,Town: Distant,2524,2524,0,1,7,3,84,11,59,389,0,0,22,54455,140,81,,1200,507,2017
,,,Public,Rural: Fringe,71,71,0,0,3,4,90,4,84,,,,87,,23,,,,55,16
57,52,14710,Private not-for-profit,City: Large,1416,1404,12,2,11,4,78,7,89,54,12,0,58,88952,179,294,,2000,439,977
,,,Private not-for-profit,Suburb: Large,138,0,138,3,15,2,77,,,,,,,83682,50,2274,139,,103,35
,,5173,Public,Suburb: Large,2751,2737,14,2,10,4,78,16,64,583,14,1,26,112015,241,234,,1216,1821,930
,,5173,Public,Suburb: Small,1973,1973,0,1,4,2,77,14,69,317,2,8,24,93979,197,366,,1216,1209,764
68,19,14958,Public,Town: Fringe,19700,17147,2553,2,3,5,71,14,91,2182,1323,311,79,124388,3338,532,8153,1216,17602,2098
,,10740,Private for-profit,City: Midsize,11,11,0,0,64,0,36,8,,,,,26,,4,,,1650,7,4
,,,Private for-profit,City: Large,92,92,0,0,98,0,2,15,54,,,,63,,5,,,,53,39
,,,Public,Suburb: Large,293,293,0,0,20,0,74,5,75,,,,82,,60,,,,293,0
99,65,13442,Private not-for-profit,City: Large,1069,880,189,2,10,1,82,10,67,,,,73,88398,119,874,120,1500,750,319
81,33,29890,Private not-for-profit,Town: Fringe,2257,2095,162,1,6,2,80,13,75,,,,62,90090,443,533,1585,1100,2207,50
77,37,28090,Private not-for-profit,Town: Distant,2222,1828,394,1,4,2,84,9,79,304,30,0,63,63447,437,185,1116,1400,1657,565
73,38,29100,Private not-for-profit,Suburb: Large,2010,1318,692,0,10,1,75,11,71,198,78,0,61,70330,383,348,537,1200,1224,786
,,4646,Public,Town: Distant,2514,2514,0,0,2,1,91,19,62,292,3,0,38,60751,149,179,,1600,716,1798
74,28,27646,Private not-for-profit,Town: Distant,2369,1558,811,1,3,2,65,12,75,,,,48,104412,323,344,1088,1100,1564,805
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,City: Small,106,106,0,4,34,2,60,6,40,,,,64,,11,,,,12,94
,,3591,Public,Rural: Fringe,3050,3050,0,1,3,3,86,16,53,,,,19,55503,219,58,,1500,825,2225
,,,Private for-profit,Suburb: Midsize,24,24,0,0,54,33,13,7,71,,,,55,,3,,,,24,0
,,3858,Public,Rural: Distant,3620,3620,0,0,2,6,63,24,71,,,,27,,154,91,,1930,690,2930
86,59,,Public,City: Large,110,110,0,0,66,8,20,15,95,,,,74,,25,,,,110,0
89,17,29300,Private not-for-profit,Suburb: Large,1901,1736,165,1,25,4,59,14,67,,,,37,61810,281,188,646,1400,1216,685
,,,Public,Suburb: Large,930,0,930,27,4,2,58,,,,,,,129037,422,1163,,,923,7
,,11050,Private not-for-profit,Suburb: Small,3741,3655,86,0,4,3,66,25,69,,,,57,56307,375,78,1678,1800,3440,301
34,28,53460,Private not-for-profit,Town: Fringe,2853,2827,26,4,5,8,64,9,91,,,,86,127653,1064,2491,2650,1958,2816,37
,,,Private for-profit,City: Large,883,883,0,0,19,8,70,16,67,,,,73,,139,,,,883,0
77,26,31080,Private not-for-profit,City: Large,1714,1177,537,1,18,3,60,14,62,231,11,2,47,76744,237,387,610,1100,1132,582
,,,Private for-profit,Suburb: Large,276,276,0,0,44,4,49,15,88,25,0,0,60,,29,,,,276,0
66,23,30990,Private not-for-profit,Town: Fringe,3088,2312,776,2,4,1,77,11,82,519,113,8,76,97833,573,849,2138,1800,2837,251
,,7203,Public,Town: Distant,707,707,0,0,1,2,93,16,73,285,4,0,41,75913,81,848,478,1168,635,72
,,7140,Public,Rural: Fringe,1018,1007,11,2,4,4,83,19,65,323,2,0,38,105756,100,116,,1168,845,173
,,7140,Public,Rural: Fringe,1061,1056,5,2,9,3,78,18,68,438,6,0,48,94455,118,92,197,1168,872,189
,,7140,Public,Town: Distant,1198,1194,4,4,3,4,81,19,70,436,1,0,43,106704,128,181,,1168,979,219
,,7140,Public,Suburb: Small,2623,2607,16,4,15,3,69,28,68,1364,5,0,38,100299,162,115,312,1168,2223,400
,,,Private for-profit,Suburb: Small,115,115,0,0,11,6,74,16,76,34,0,0,60,,11,,,,115,0
,,,Private for-profit,Suburb: Large,223,223,0,0,73,1,25,20,84,,,,70,,11,,,,223,0
,,,Private for-profit,City: Large,107,107,0,4,30,5,59,21,88,,,,71,,9,,,,107,0
,,,Private for-profit,Suburb: Large,102,102,0,1,31,6,60,20,70,,,,49,,9,,,,102,0
48,31,10592,Public,City: Large,59837,45946,13891,6,6,4,66,19,94,4990,1654,564,83,141931,30336,903,15198,1168,52057,7780
,,4806,Public,Rural: Fringe,611,611,0,1,2,1,91,14,57,112,2,0,41,,48,225,,1034,384,227
,,5060,Public,Town: Distant,1691,1691,0,1,4,1,87,13,57,331,1,0,23,85368,117,100,,1034,1058,633
,,4806,Public,Suburb: Midsize,1387,1387,0,0,2,1,91,14,57,172,40,0,21,94563,109,109,,1034,945,442
,,5060,Public,Rural: Fringe,1615,1615,0,1,4,1,87,15,56,405,1,0,27,92673,108,100,,1034,1032,583
74,21,11896,Public,Town: Distant,29369,23167,6202,2,6,3,79,17,80,3520,502,27,64,108943,3824,488,8330,1034,20805,8564
,,5060,Public,Town: Distant,1204,1204,0,1,2,1,89,17,59,216,0,0,28,91199,90,116,,1034,845,359
,,12729,Private for-profit,Town: Fringe,162,162,0,0,3,0,96,13,70,,,,57,,21,,,253,142,20
85,73,8809,Private not-for-profit,City: Small,86,86,0,1,3,0,92,6,20,,,,100,,13,,,1323,32,54
71,15,44690,Private not-for-profit,Suburb: Large,1560,1560,0,3,10,6,68,9,78,,,,70,93769,452,1075,1581,1500,1545,15
76,25,31874,Private not-for-profit,Suburb: Large,2936,2480,456,2,6,2,76,11,81,,,,64,76976,495,498,1295,1274,2343,593
,,4682,Public,Suburb: Large,10038,10038,0,1,10,7,66,16,53,1330,55,0,18,62048,663,78,,1410,2648,7390
,,,Private for-profit,Town: Fringe,39,39,0,3,3,0,95,7,48,,,,49,,4,,,,24,15
,,,Public,Suburb: Large,119,119,0,0,50,5,43,9,84,,,,67,,96,,,,54,65
,,,Private not-for-profit,Rural: Fringe,187,0,187,0,99,1,0,,,,,,,37384,24,739,32,,136,51
93,85,22092,Private not-for-profit,City: Large,150,90,60,5,1,9,67,6,77,3,7,0,50,52878,65,2340,220,1200,139,11
84,57,15391,Private for-profit,Suburb: Large,415,415,0,1,42,4,49,14,69,,,,61,,69,,,1375,415,0
,,,Private not-for-profit,Town: Distant,49,49,0,0,6,6,82,8,,,,,,,14,,,,7,42
94,88,10800,Private not-for-profit,Suburb: Large,56,37,19,0,0,0,100,9,57,,,,40,27417,22,,400,600,56,0
,,,Private for-profit,Suburb: Large,135,135,0,0,28,3,50,21,78,,,,62,,8,,,,115,20
,,14602,Private for-profit,Suburb: Large,690,690,0,1,13,1,35,13,44,,,,33,,124,,,1435,680,10
,,26175,Private not-for-profit,Rural: Distant,1812,1753,59,0,3,1,77,17,48,,,,39,66797,235,181,300,1200,1292,520
49,42,27194,Private for-profit,Suburb: Large,211,211,0,0,4,2,91,14,71,,,,64,,35,,,2350,198,13
69,35,7439,Public,Town: Fringe,3582,3406,176,1,5,1,85,15,68,621,72,0,29,77729,449,362,934,1200,2938,644
,,2546,Public,City: Midsize,18448,18448,0,2,14,4,63,17,53,3004,18,2,26,79698,1292,85,,960,5795,12653
,,12530,Private for-profit,Town: Distant,,,,,,,,,,,,,,,,,,1800,,
,,,Private for-profit,Town: Fringe,,,,,,,,,,,,,,,,,,,,
,,15000,Private for-profit,City: Large,203,203,0,1,70,1,24,15,75,91,0,0,40,,21,,,,130,73
,,,Private for-profit,Suburb: Large,184,184,0,0,1,22,68,28,,,,,20,,107,,,,176,8
,,,Private for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,3686,Public,Suburb: Large,11613,11613,0,2,11,2,71,21,53,1550,8,0,15,73875,526,71,,1100,3230,8383
,,12762,Private for-profit,Suburb: Large,624,624,0,0,17,9,68,13,56,,,,42,,65,,,75,279,345
83,35,26430,Private not-for-profit,City: Small,2929,2200,729,2,1,12,76,14,87,,,,78,82431,356,294,1616,1200,2168,761
,,4412,Public,Town: Distant,2719,2719,0,0,2,1,93,20,52,313,0,0,23,68164,186,288,,2050,900,1819
,,4352,Public,Rural: Fringe,2243,2243,0,0,5,5,81,12,57,,,,24,63686,181,109,,1590,460,1783
,,,Private for-profit,Town: Distant,34,34,0,0,3,3,94,9,94,,,,76,,5,,,,33,1
69,17,24000,Private not-for-profit,Town: Distant,3149,2243,906,0,12,2,43,14,64,,,,28,74114,389,152,1042,2000,1897,1252
94,31,9547,Public,City: Large,20579,16194,4385,3,10,5,67,21,74,,,,41,103681,3115,459,3550,1180,16162,4417
,,9100,Private not-for-profit,Suburb: Midsize,39,35,4,3,36,0,62,4,,,,,100,500,16,,,540,9,30
,,,Public,Rural: Fringe,67,67,0,1,3,1,15,13,86,,,,63,,13,,,,67,0
,,,Public,Town: Distant,182,182,0,1,2,0,95,9,69,,,,75,,27,,,,168,14
,,,Private not-for-profit,Suburb: Large,85,0,85,0,11,0,87,,,,,,,64226,22,3976,103,,46,39
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,12896,Private not-for-profit,City: Large,1085,813,272,1,22,20,37,8,75,0,9,0,0,,238,598,,1216,637,448
,,,Private not-for-profit,Suburb: Large,421,0,421,1,30,0,33,,,,,,,67615,55,940,,,324,97
,,,Public,Town: Fringe,153,153,0,1,5,0,78,3,63,,,,65,,38,,,,37,116
71,68,22452,Private not-for-profit,Town: Fringe,1623,1508,115,1,13,2,64,15,58,,,,19,54190,126,128,344,1080,416,1207
93,16,31150,Private not-for-profit,Suburb: Large,1123,621,502,2,22,2,64,8,71,68,8,3,53,66310,214,637,240,1200,519,604
88,40,20439,Private for-profit,Suburb: Large,133,133,0,0,42,6,48,9,48,,,,52,,21,,,1500,75,58
79,35,29150,Private not-for-profit,Suburb: Large,2759,2009,750,1,5,3,66,13,74,389,47,26,61,64202,410,260,1044,1104,2083,676
,,3978,Public,Rural: Fringe,1821,1821,0,0,1,1,94,12,57,,,,25,49985,140,139,,1896,721,1100
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,55,,,,,,,
48,10,13250,Private not-for-profit,Rural: Fringe,627,609,18,0,91,0,3,9,38,,,,26,,115,482,900,1200,494,133
84,15,25000,Private not-for-profit,Town: Distant,1169,1169,0,0,10,2,79,14,68,269,35,3,58,61956,204,382,831,1100,1098,71
,,,Private not-for-profit,Town: Distant,62,0,62,5,13,2,77,,,,,,,43960,15,,,,8,54
72,10,38730,Private not-for-profit,City: Small,1884,1857,27,1,10,4,77,13,72,405,127,7,67,74719,365,759,1606,1600,1782,102
56,18,48600,Private not-for-profit,Town: Distant,1980,1980,0,5,9,5,66,11,85,174,300,91,77,97565,663,1263,1978,1000,1962,18
97,40,8730,Public,Suburb: Large,15957,12115,3842,3,10,3,71,14,65,,,,36,113806,2211,609,3000,1248,10780,5177
99,65,5842,Public,Rural: Fringe,1037,1037,0,1,1,3,92,14,75,,,,42,113806,93,,101,1248,699,338
74,13,37230,Private not-for-profit,City: Large,6786,4634,2152,3,9,5,76,11,84,492,732,14,69,105549,1094,403,2318,1000,5008,1778
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
64,35,8451,Public,City: Small,12521,11269,1252,1,10,4,75,17,77,1753,323,124,34,85500,1325,266,883,1100,9564,2957
,,,Private for-profit,Suburb: Large,20,20,0,5,80,0,10,3,50,,,,78,,7,,,,20,0
73,31,17700,Private not-for-profit,Town: Distant,934,934,0,3,29,8,14,21,43,146,187,2,14,38479,163,145,650,2500,864,70
62,12,26090,Private not-for-profit,Town: Distant,1204,1006,198,0,9,3,64,14,53,,,,45,77416,197,208,431,900,630,574
,,25178,Private not-for-profit,Suburb: Large,2165,1521,644,1,14,9,58,16,72,,,,45,50225,444,278,840,1200,2127,38
,,,Private for-profit,Suburb: Large,44,44,0,2,14,7,57,14,61,,,,79,,5,,,,43,1
,,,Public,Rural: Fringe,93,93,0,0,5,0,63,7,16,,,,96,,47,,,,91,2
,,6180,Public,City: Small,4524,4150,374,2,12,13,52,20,65,567,50,21,18,73178,484,309,684,1418,2957,1567
,,3412,Public,Town: Distant,2068,2068,0,0,3,8,54,25,60,316,27,2,42,,193,121,300,1600,1168,900
,,,Private for-profit,City: Large,269,269,0,1,30,6,53,10,100,,,,54,,28,,,,249,20
76,55,7100,Public,Suburb: Large,15979,14343,1636,3,9,10,56,19,64,2041,86,69,38,78917,1584,403,1888,1600,11097,4882
,,,Private for-profit,Town: Fringe,24,24,0,0,0,8,71,10,61,,,,67,,2,,,,15,9
,,3512,Public,Rural: Remote,2295,2295,0,0,7,5,46,25,57,698,33,7,23,,145,174,367,1680,1229,1066
48,53,6600,Public,Town: Remote,3719,3081,638,0,4,5,59,18,46,414,32,24,33,61402,450,382,1349,1600,2810,909
,,4572,Public,Town: Remote,1319,1319,0,1,3,4,54,22,44,297,43,0,24,41136,174,132,397,1680,696,623
,,4962,Public,Town: Distant,2023,2023,0,1,4,10,67,23,53,305,33,0,29,44090,149,111,232,1500,589,1434
,,,Private for-profit,Town: Remote,37,37,0,0,14,5,65,11,92,,,,67,,5,,,,37,0
,,,Private for-profit,City: Small,103,103,0,1,36,8,46,14,83,,,,52,,24,,,,103,0
41,68,13640,Private not-for-profit,Suburb: Large,322,304,18,1,10,25,45,16,46,,,,24,,51,,125,840,283,39
,,,Private for-profit,Suburb: Midsize,,,,,,,,,,,,,,,,,,,,
,,5936,Public,Rural: Distant,2219,2033,186,0,69,2,6,15,55,252,271,18,9,73049,345,420,1574,1600,1950,269
,,5050,Public,Rural: Distant,2292,2292,0,1,2,9,53,17,54,518,50,9,27,47577,191,104,297,1726,1078,1214
,,17975,Private for-profit,City: Large,1127,1127,0,5,6,15,44,12,,133,110,1,25,,243,137,312,2800,1127,0
96,50,6327,Public,Town: Remote,7909,6828,1081,2,4,6,49,19,63,786,55,16,32,77825,918,414,1592,1260,5220,2689
,,,Private for-profit,Town: Remote,30,30,0,0,0,0,83,10,83,,,,73,,6,,,,30,0
,,3865,Public,Town: Remote,4276,4276,0,1,4,9,58,17,57,795,56,17,29,,307,106,694,900,1882,2394
,,4448,Public,Town: Distant,2055,2055,0,1,9,5,50,23,50,,,,22,,197,126,850,1200,1519,536
83,42,7066,Public,Town: Remote,2096,1879,217,1,7,9,66,16,54,244,103,4,23,68707,268,313,886,1200,1396,700
,,,Public,City: Large,971,0,971,6,4,5,63,,,,,,,,570,1280,,,603,368
63,32,21670,Private not-for-profit,City: Large,2458,1972,486,10,10,6,64,14,78,233,262,14,54,68515,383,247,1877,1200,2107,351
,,,Public,City: Large,3139,786,2353,10,3,6,65,8,,,,,,100793,5437,1058,151,,2712,427
,,6196,Public,Rural: Distant,1138,1138,0,1,8,26,53,14,40,108,91,5,14,47632,143,327,688,465,852,286
74,42,8738,Public,Town: Distant,25295,20992,4303,2,4,7,66,20,81,2724,1406,77,62,109578,5105,945,6737,1270,19933,5362
,,3836,Public,City: Large,5839,5839,0,3,11,16,52,17,,981,16,0,7,61307,373,118,,1440,1728,4111
65,21,26840,Private not-for-profit,Town: Distant,2093,1965,128,1,5,2,67,15,72,,,,59,69832,364,431,1600,1350,1899,194
,,3909,Public,City: Large,12342,12342,0,3,8,14,52,27,46,1872,5,0,9,,568,117,,1600,4399,7943
72,23,30726,Private not-for-profit,City: Large,2845,1714,1131,4,6,9,60,11,82,104,183,7,63,71821,578,761,1244,1500,2327,518
74,39,11538,Public,Suburb: Midsize,28527,22032,6495,5,5,9,59,18,92,2545,1800,123,67,119621,5626,801,6417,645,22128,6399
,,5250,Public,Town: Distant,2496,2496,0,1,3,7,30,15,,679,38,6,32,,345,190,800,1100,1727,769
93,27,26792,Private not-for-profit,City: Large,3919,3381,538,2,13,11,40,15,81,,,,57,81195,665,417,2207,1848,3220,699
,,,Private for-profit,City: Large,280,280,0,1,36,21,32,16,59,,,,57,,31,,,,280,0
,,6870,Public,Town: Fringe,3728,3697,31,2,4,6,57,19,62,564,23,18,17,60760,354,313,829,2320,2194,1534
,,4124,Public,Suburb: Large,7452,7452,0,3,15,6,54,21,49,1520,22,7,19,45370,475,298,170,1000,2885,4567
,,22050,Private not-for-profit,Rural: Fringe,,,,,,,,,,,,,,,,,498,1000,,
,,,Private for-profit,Suburb: Large,28,28,0,4,18,4,64,6,100,,,,61,,7,,,,28,0
52,37,7200,Public,Town: Distant,882,882,0,1,4,10,58,13,72,172,14,17,31,57242,155,263,506,1200,727,155
,,4440,Public,Town: Distant,1633,1633,0,1,6,2,60,20,62,322,8,7,39,49665,145,,230,1720,967,666
,,,Private for-profit,Town: Distant,24,24,0,0,13,4,63,24,74,,,,93,,3,,,,24,0
72,62,6750,Public,Town: Distant,4006,3122,884,1,6,6,52,18,64,354,167,8,27,73100,403,293,729,1000,2659,1347
77,88,13880,Private not-for-profit,Suburb: Large,670,620,50,1,17,9,44,10,44,,,,25,41921,106,,277,1200,558,112
92,44,7005,Public,Town: Remote,5448,4623,825,3,4,10,63,21,66,943,65,10,31,82269,521,327,1196,1218,4176,1272
,,3221,Public,City: Large,16897,16897,0,4,8,7,56,18,61,3508,42,76,15,,1351,218,,1656,4897,12000
,,,Private for-profit,City: Large,926,926,0,1,10,11,51,30,67,157,234,0,60,,71,,,,926,0
39,24,41509,Private not-for-profit,City: Large,4433,3343,1090,4,5,6,55,11,88,364,293,86,69,121512,1257,1087,2727,1200,3934,499
,,,Private for-profit,Town: Distant,18,18,0,0,17,11,39,7,62,,,,63,,2,,,,18,0
,,,Public,Town: Remote,326,326,0,0,1,13,34,13,97,,,,90,,28,,,,100,226
,,3878,Public,Town: Remote,1346,1346,0,1,8,20,52,18,49,259,54,7,25,,136,184,96,1600,565,781
,,,Private for-profit,Town: Remote,34,34,0,0,3,9,85,34,69,,,,71,,2,,,,34,0
,,,Public,Rural: Fringe,285,285,0,0,1,15,79,7,59,,,,58,,50,,,,41,244
