,Percent admitted,Admissions yield,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment,x0_Private not-for-profit,x0_Public,x1_City: Midsize,x1_City: Small,x1_Rural: Distant,x1_Rural: Fringe,x1_Rural: Remote,x1_Suburb: Large,x1_Suburb: Midsize,x1_Suburb: Small,x1_Town: Distant,x1_Town: Fringe,x1_Town: Remote
555,0.78,0.39,0.02008310249307479,0.02584864143199743,0.0,0.016666666666666666,0.11224489795918366,0.02,0.75,0.203125,0.65,0.021115864203149176,0.00514453699167075,0.0007656967840735069,0.46,0.3110437014567152,0.011076679633414651,0.07958390775786439,0.03789864569681083,0.20525978191148175,0.011618400931010934,0.013232061958943228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
556,0.33,0.35000000000000003,0.006550092336103416,0.007812693154004005,0.0012311188976750795,0.3,0.02040816326530612,0.18,0.5,0.171875,0.85,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.52,0.34061968732291076,0.005076811498648382,0.05426745206166186,0.0030034949759720404,0.22989095574085955,0.00569378588672059,0.0014054393493114841,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,0.8300000000000001,0.29,0.001404278239458295,0.0007787969441491334,0.0020360812538472465,0.016666666666666666,0.030612244897959183,0.02,0.16,0.09375,0.5,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.29,0.28420947364912164,0.004186721170963276,0.26908133851359817,0.005406290956749673,0.23784477228992948,0.0013753570638531157,0.000119611859515871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,0.9,0.36,0.010647506925207757,0.012213513981259427,0.002888394336853071,0.03333333333333333,0.0510204081632653,0.06,0.8200000000000001,0.15625,0.79,0.014562664967689086,0.016903478686918178,0.002297090352220521,0.67,0.25714607153571784,0.005109777807081163,0.04160922421356059,0.03505897771952818,0.10262989095574088,0.008944629855827954,0.002721169803986065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,0.67646408839779,0.36113337940566687,0.028162511542012925,0.03623260068731921,0.0,0.03333333333333333,0.01020408163265306,0.1,0.73,0.203125,0.61,0.026758896878128696,0.003674669279764821,0.0,0.28,0.33534594559420455,0.010779982857519615,0.017671387391903746,0.08837423151073255,0.11853752405388071,0.015484789320304308,0.019780811267437165,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,0.67646408839779,0.36113337940566687,0.006126885195444752,0.00791158800405469,0.0,0.03333333333333333,0.2857142857142857,0.15,0.52,0.203125,0.56,0.010193865477382361,0.0007349338559529642,0.0,0.3,0.24557901930064335,0.0022417089734291557,0.07331745832811129,0.08837423151073255,0.14111610006414368,0.001433064353245554,0.0073710808426655505,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
561,0.23,1.0,0.015331640504770698,0.013771107869557693,0.011435200530328142,0.0,0.16326530612244897,0.03,0.28,0.15625,0.54,0.002730499681441704,0.00857422831945125,0.0,0.37,0.27858428614287145,0.00543944089140898,0.07958390775786439,0.02129750982961992,0.12828736369467608,0.0065882488723033854,0.013665654949688261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
562,0.67646408839779,0.36113337940566687,0.03515504770698676,0.04521967018567508,0.0,0.016666666666666666,0.0510204081632653,0.01,0.93,0.46875,0.63,0.016382998088650222,0.0039196472317491425,0.0038284839203675345,0.55,0.1848853295109837,0.0031317993011142613,0.006517107406943226,0.08837423151073255,0.16677357280307892,0.004385753993825319,0.04790454973610633,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
563,0.13,0.84,0.014437134502923978,0.018592231809528518,0.0,0.016666666666666666,0.01020408163265306,0.02,0.9,0.203125,0.74,0.023755347228542823,0.02621264086232239,0.0,0.72,0.3000433347778259,0.011340410100876904,0.04048126331620504,0.0789646133682831,0.12828736369467608,0.014186375308974444,0.0004634959556240001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
564,0.67646408839779,0.36113337940566687,0.0377616189596799,0.04856973323114199,0.0,0.016666666666666666,0.11224489795918366,0.02,0.77,0.328125,0.62,0.0562482934376991,0.0039196472317491425,0.0,0.24,0.29910997033234443,0.011274477484011341,0.008146384258679033,0.08837423151073255,0.1957665169980757,0.018716397526280862,0.029678692642375493,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
565,0.39,0.27,0.10606148045552477,0.11622617252206592,0.03854349164259672,0.016666666666666666,0.061224489795918366,0.06,0.79,0.25,0.79,0.16528624738327113,0.040666340029397355,0.0015313935681470138,0.59,0.3786501216707224,0.05063624975275269,0.06354179721769646,0.24852555701179554,0.29916613213598464,0.08468544718340337,0.03329695139273059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
566,0.67646408839779,0.36113337940566687,0.1751885195444752,0.22519593542166294,0.0,0.1,0.030612244897959183,0.26,0.5700000000000001,0.34375,0.72,0.2729589514881223,0.00514453699167075,0.02909647779479326,0.35000000000000003,0.33534594559420455,0.02442803454869124,0.018674019300664244,0.006553079947575361,0.2853110968569596,0.06199686457060967,0.17602380276004365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
567,0.67646408839779,0.36113337940566687,0.025882963988919667,0.03330284075456771,0.0,0.016666666666666666,0.061224489795918366,0.06,0.8200000000000001,0.21875,0.6,0.0562482934376991,0.002204801567858893,0.0,0.31,0.33534594559420455,0.008241577108195425,0.02042862514099511,0.0095565749235474,0.10763309813983324,0.00908889807930905,0.026180045751536263,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,0.56,0.19,0.04747614650661742,0.052748040645783374,0.015909844216108717,0.03333333333333333,0.17346938775510204,0.05,0.6,0.25,0.56,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.41000000000000003,0.2643629787659589,0.01651612052482363,0.00927434515603459,0.038335517693315856,0.2001282873636947,0.025102670885710714,0.034851905566436914,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
569,0.67646408839779,0.36113337940566687,0.07599453678054785,0.09770811185007541,0.0,0.03333333333333333,0.4693877551020408,0.04,0.39,0.390625,0.45,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.11,0.20991949731657722,0.01556009758027296,0.012783556836696327,0.08837423151073255,0.16677357280307892,0.03727890894751522,0.060254474231120014,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,0.63,0.32,0.023574561403508772,0.02432813311246817,0.011506226620578626,0.16666666666666666,0.1020408163265306,0.06,0.64,0.203125,0.78,0.02120688085919723,0.0641842234198922,0.010719754977029096,0.54,0.26657971932397745,0.012560163512889827,0.03095626018298032,0.10244648318042814,0.15394483643361132,0.020245640695180478,0.00524797033625884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,0.9500000000000001,0.55,0.49894198214835334,0.6412960170099142,0.0,0.016666666666666666,0.0,0.02,0.51,0.375,0.72,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.59,0.33534594559420455,0.061581064152436214,0.009650332121819776,0.04636304062909567,0.10262989095574088,0.1656968636088215,0.5180838180105557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
